field,probe,frequency_khz,psd
number_density,freestream,730.000000,3.67004030e+37
number_density,freestream,740.000000,7.18096611e+37
number_density,freestream,750.000000,2.73907980e+37
number_density,freestream,760.000000,7.20991621e+36
number_density,freestream,770.000000,1.60519909e+37
number_density,freestream,780.000000,2.76451205e+37
number_density,freestream,790.000000,5.65248903e+36
number_density,freestream,800.000000,3.21769705e+37
number_density,freestream,810.000000,5.95563973e+37
number_density,freestream,820.000000,2.43427375e+37
number_density,freestream,830.000000,6.58777705e+36
number_density,freestream,840.000000,5.04559146e+37
number_density,freestream,850.000000,4.93894091e+37
number_density,freestream,860.000000,1.46706630e+37
number_density,freestream,870.000000,5.97964830e+36
number_density,freestream,880.000000,8.36232906e+36
number_density,freestream,890.000000,7.53780193e+35
number_density,freestream,900.000000,6.01995468e+36
number_density,freestream,910.000000,1.08935135e+37
number_density,freestream,920.000000,1.68967032e+37
number_density,freestream,930.000000,8.04929664e+35
number_density,freestream,940.000000,2.12692168e+36
number_density,freestream,950.000000,7.06783890e+36
number_density,freestream,960.000000,3.78876261e+36
number_density,freestream,970.000000,3.89824932e+37
number_density,freestream,980.000000,1.15570914e+38
number_density,freestream,990.000000,1.35138148e+37
number_density,freestream,1000.000000,1.89099574e+37
number_density,freestream,1010.000000,1.54170226e+37
number_density,freestream,1020.000000,5.49304471e+36
number_density,freestream,1030.000000,1.54181153e+37
number_density,freestream,1040.000000,3.87025717e+36
number_density,freestream,1050.000000,1.19880076e+37
number_density,freestream,1060.000000,7.13223610e+36
number_density,freestream,1070.000000,2.44060030e+36
number_density,freestream,1080.000000,9.62711918e+36
number_density,freestream,1090.000000,3.77878153e+36
number_density,freestream,1100.000000,8.35075180e+36
number_density,freestream,1110.000000,1.25781954e+37
